1021203012000193059611731     Linha Reta Centro Automotivo Ltda EPetrolina                     PE87398322442017010120180103331
5407063698000133551  00077664045000014285          000000010000000000048240000000000000000000000000000000000000000000000000000
5407063698000133551  00077764045000014291          000000010000000000004350000000000000000000000000000000000000000000000000000
5407063698000133551  00077764045000011894          000000010000000000035000000000000000000000000000000000000000000000000000000
5407063698000133551  00077864045000014285          000000010000000000048240000000000000000000000000000000000000000000000000000
5401098297000990551  00077952025000014572          000000020000000000087800000000000000000000000000000000000000000000000000000
5410835932000108551  00078054055000014308          000000010000000000255000000000000000000000000000000000000000000000000000000
5400399857002846551  00078164045000014450          000000010000000000085000000000000000000000000000000000000000000000000000000
5400399857002846551  00078164045000014441          000000020000000000177660000000000000000000000000000000000000000000000000000
5400399857002846551  00078164045000011971          000000010000000000066500000000000000000000000000000000000000000000000000000
5400399857002846551  00078164045000014430          000000020000000000133000000000000000000000000000000000000000000000000000000
5400399857002846551  0007816404500001572           000000070000000000196000000000000000000000000000000000000000000000000000000
5400399857002846551  00078164045000011710          000000010000000000036100000000000000000000000000000000000000000000000000000
5400399857002846551  00078164045000011714          000000010000000000171000000000000000000000000000000000000000000000000000000
5400399857002846551  00078164045000013896          000000010000000000041800000000000000000000000000000000000000000000000000000
5400399857002846551  00078164045000014431          000000020000000000085500000000000000000000000000000000000000000000000000000
5400399857002846551  00078164045000014442          000000020000000000162440000000000000000000000000000000000000000000000000000
5400399857002846551  00078164045000014436          000000040000000000433200000000000000000000000000000000000000000000000000000
5400399857002846551  00078164045000014429          000000010000000000177650000000000000000000000000000000000000000000000000000
5400399857002846551  00078164045000011327          000000010000000000049400000000000000000000000000000000000000000000000000000
5400399857002846551  00078164045000014525          000000010000000000484500000000000000000000000000000000000000000000000000000
5400399857002846551  00078164045000014133          000000020000000000957600000000000000000000000000000000000000000000000000000
5422254734000130551  0007826404500001516           000000020000000000600000000000000000000000000000000000000000000000000000000
5422254734000130551  00078364045000011             000000020000000000556000000000000000000000000000000000000000000000000000000
5416912179000193551  00078454055000014573          000000040000000000515200000000062800000000000000000000000000000000000000000
5405440725000114551  00078554055000011229          000000035000000000087600000000010400000000000000000000000000000000000000000
5405440725000114551  000785540550000167            000000010000000000022810000000002710000000000000000000000000000000000000000
5405440725000114551  00078554055000012355          000000010000000000024650000000002930000000000000000000000000000000000000000
5405440725000114551  00078554055000013470          000000010000000000001340000000000160000000000000000000000000000000000000000
5405440725000114551  00078554055000012267          000000010000000000023600000000002800000000000000000000000000000000000000000
5405440725000114551  00078654055000011229          000000040000000000120000000000000000000000000000000000000000000000000000000
5405440725000114551  00078654055000012267          000000010000000000019000000000000000000000000000000000000000000000000000000
5405440725000114551  000786540550000167            000000010000000000025000000000000000000000000000000000000000000000000000000
5405440725000114551  00078654055000012355          000000010000000000026000000000000000000000000000000000000000000000000000000
5461198164000755551  00078754055000013174          000000010000000000059650000000000000000000000000000000000000000000000000000
5405440725000114551  00078854055000011257          000000010000000000683000000000000000000000000000000000000000000000000000000
5405440725000114551  00078954055000012399          000000010000000000022680000000001320000000000000000000000000000000000000000
5405440725000114551  00078954055000013470          000000010000000000001410000000000090000000000000000000000000000000000000000
5405440725000114551  00078954055000011229          000000035000000000115740000000006760000000000000000000000000000000000000000
5405440725000114551  000789540550000167            000000010000000000024110000000001410000000000000000000000000000000000000000
5405440725000114551  00078954055000012355          000000010000000000026060000000001520000000000000000000000000000000000000000
5411564368000441551  00079054055000014576          000000020000000000093380000000000000000000000000000000000000000000000000000
5411564368000441551  00079054055000013513          000000010000000000066390000000000000000000000000000000000000000000000000000
5411564368000441551  0007905405500001572           000000035000000000122500000000000000000000000000000000000000000000000000000
5411564368000441551  00079054055000013340          000000020000000000416000000000000000000000000000000000000000000000000000000
5411564368000441551  00079054055000011633          000000010000000000017950000000000000000000000000000000000000000000000000000
5411564368000441551  0007905405500001120           000000020000000000010000000000000000000000000000000000000000000000000000000
5422254734000130551  000791640450000195            000000040000000001460000000000000000000000000000000000000000000000000000000
5410215988002294551  00079264045000013857          000000010000000000036850000000000000000000000000000000000000000000000000000
5410215988002294551  00079264045000012382          000000010000000000038410000000000000000000000000000000000000000000000000000
5410215988002294551  00079264045000013504          000000020000000000651000000000000000000000000000000000000000000000000000000
5410215988002294551  00079264045000014088          000000010000000000020500000000000000000000000000000000000000000000000000000
5410215988002294551  00079264045000012202          000000010000000000040550000000000000000000000000000000000000000000000000000
5410215988002294551  0007926404500001572           000000030000000000105000000000000000000000000000000000000000000000000000000
5405440725000114551  00079354055000012399          000000010000000000019020000000000000000000000000000000000000000000000000000
5405440725000114551  00079354055000011229          000000035000000000119980000000000000000000000000000000000000000000000000000
5405440725000114551  000793540550000167            000000010000000000025000000000000000000000000000000000000000000000000000000
5405440725000114551  00079354055000012355          000000010000000000026000000000000000000000000000000000000000000000000000000
5412907085000175550  00079452025000014588          000000010000000001650000000000000000000000000000000000000000000000000000000
5412907085000175550  00079552025000014587          000000010000000000200000000000000000000000000000000000000000000000000000000
5400399857002846551  00079664045000013582          000000020000000000551850000000028150000000000000000000000000000000000000000
5400399857002846551  00079664045000013343          000000010000000000215040000000010960000000000000000000000000000000000000000
5400399857002846551  00079664045000014591          000000010000000000024260000000001240000000000000000000000000000000000000000
5400399857002846551  00079664045000014590          000000010000000000072790000000003710000000000000000000000000000000000000000
5400399857002846551  00079664045000014575          000000010000000000048530000000002470000000000000000000000000000000000000000
5400399857002846551  00079664045000012987          000000010000000000004760000000000240000000000000000000000000000000000000000
5400399857002846551  00079664045000012987          000000010000000000004760000000000240000000000000000000000000000000000000000
5400399857002846551  00079664045000011374          000000010000000000013040000000000660000000000000000000000000000000000000000
5400399857002846551  00079664045000014571          000000010000000000071630000000003650000000000000000000000000000000000000000
5400399857002846551  00079664045000012982          000000020000000000092850000000004730000000000000000000000000000000000000000
5400399857002846551  0007966404500001841           000000020000000000600260000000030600000000000000000000000000000000000000000
5400399857002846551  00079664045000011953          000000020000000000022840000000001160000000000000000000000000000000000000000
5400399857002846551  0007966404500001473           000000020000000000022840000000001160000000000000000000000000000000000000000
5400399857002846551  0007966404500001920           000000010000000000039960000000002040000000000000000000000000000000000000000
5400399857002846551  0007966404500001767           000000010000000000017130000000000870000000000000000000000000000000000000000
5400399857002846551  0007966404500001671           000000040000000000095150000000004850000000000000000000000000000000000000000
5400399857002846551  0007966404500001697           000000010000000000063900000000003260000000000000000000000000000000000000000
5400399857002846551  000796640450000129            000000010000000000023430000000001190000000000000000000000000000000000000000
